ID,Genotype,Location,Year,pod_shattering
225,Saydina,Kuban,2019,25
227,Chara,Kuban,2019,10
228,Delta,Kuban,2019,10
229,SG_Pikor,Kuban,2019,0
230,Banjo,Kuban,2019,0
233,Saska,Kuban,2019,10
234,Kassidi,Kuban,2019,0
235,Kofu,Kuban,2019,5
236,Kanata,Kuban,2019,0
237,Sevilya,Kuban,2019,5
238,Nilin_/_Delta,Kuban,2019,10
239,Khlorned_(ch/semyan.),Kuban,2019,0
240,Safrano,Kuban,2019,0
244,Nilin,Kuban,2019,0
245,Hilario_Kunitz,Kuban,2019,0
246,KNR-12-09_R4,Kuban,2019,0
249,Shuge,Kuban,2019,0
250,Ananda,Kuban,2019,0
39,HM_648_(Rita),Kuban,2020,5
42,Malaga,Kuban,2020,20
45,Chera_1,Kuban,2020,30
48,Zolotista,Kuban,2020,25
52,Klondayk,Kuban,2020,5
63,Klavera,Kuban,2020,0
65,Alina,Kuban,2020,10
72,Sfera,Kuban,2020,0
78,Zaryanitsa,Kuban,2020,5
84,Moravians,Kuban,2020,10
93,Kitrossa,Kuban,2020,10
100,Volga,Kuban,2020,0
101,Samer_1,Kuban,2020,5
102,Samer_2,Kuban,2020,10
103,Samer_3,Kuban,2020,10
104,Samer_4,Kuban,2020,10
105,Samer_5,Kuban,2020,0
117,Amazonka,Kuban,2020,10
118,Suyedina,Kuban,2020,0
119,Solena,Kuban,2020,5
120,Sireliya,Kuban,2020,0
121,Lider_1,Kuban,2020,30
122,Tabolinskaya_116,Kuban,2020,10
124,NS_Nataliya,Kuban,2020,0
127,NS_Mina,Kuban,2020,0
139,Batya,Kuban,2020,5
143,SK_Doka,Kuban,2020,20
144,SK_Unika,Kuban,2020,20
145,SK_Viola,Kuban,2020,0
146,Osmon,Kuban,2020,50
147,Mezenka,Kuban,2020,40
148,Avanta,Kuban,2020,20
149,Bara,Kuban,2020,15
151,Volma,Kuban,2020,15
152,Kazachka,Kuban,2020,50
154,OAS_Prudens,Kuban,2020,10
155,Amigo,Kuban,2020,20
156,Selekta_101,Kuban,2020,10
157,Puma,Kuban,2020,15
159,SK_Farta,Kuban,2020,40
161,Arleta,Kuban,2020,0
162,Sparta,Kuban,2020,5
163,SK_Agra,Kuban,2020,10
164,Slaviya,Kuban,2020,10
