"Genotype","X.Intercept."
"Suyedina",-0.0456911716593783
"Svapa",-0.152874837489143
"Svetlaya",-0.276582474091845
"Svetlaya_(povt)",-0.213569894855671
"Tabolinskaya_116",0.0889596347138443
"Tankuro",0.213890454133624
"Tatyana_Ryazantseva",-0.00418241207248766
"Tiara",0.036350665289641
"Trembita",0.139924939020969
"Triada",0.0454226968811006
"Tundra",-0.10380870817418
"Urkan",-0.0183459638321182
"USKHI-6",-0.118908276035684
"Ussuriyskaya_332",0.182234935818951
"Ussuriyskaya_511",0.196669830679559
"Valyevka",0.11699075594907
"Varsovie",-0.13725458890459
"VAZ_100",0.0272377412586181
"Velichava",0.141988694961541
"Vereteyka",-0.0664961506940848
"Vetsautses_brune",-0.0421210039923434
"Vilana",0.122136020071192
"Vilnensis",-0.143962887671323
"Volga",0.0313175412187892
"Volma",-0.161533706588076
"Yamajirushi_(China)",0.203470419806562
"YES_Gladiator",0.0438292556150657
"YES_Pallador",0.158391555711647
"Yevgeniya",-0.0207787746701722
"Yug_30",-0.124146671780726
"Zaryanitsa",-0.178782102977244
"Zelda",-0.117474952551217
"Zhalpaksay",0.0394380639505531
"Zhansaya",0.192919760020992
"Zlata",-0.152799460647507
"Zolotista",-0.125326126600825
