"Genotype","X.Intercept."
"Korichnevaya",0.105518754983038
"Korona_szoja",-0.011972666123936
"L-12-0154",0.0872370273497867
"L-15-0034",-0.173531083203392
"L-17-121",0.000273141487845466
"L-17-122",-0.00316448081748128
"L-17-157",-0.0363685115702859
"L-17-162",-0.0346724500834195
"L-17-163",-0.0379387550914569
"L-17-166",-0.0483570017458833
"L-17-167",-0.0379387550914569
"L-17-169",-0.0346724500834195
"L-17-176",-0.0346724500834195
"L-17-181",-0.0346724500834195
"L-17-183",-0.0346724500834195
"L-17-184",-0.0346724500834195
"L-17-204",-0.0346724500834195
"L-17-214",-0.0346724500834195
"L-17-224",-0.0346724500834195
"L-17-236",-0.0346724500834195
"L-17-244",-0.0346724500834195
"L-17-249",-0.0346724500834195
"L-17-263",-0.0379387550914569
"L-17-267",-0.037406441278558
"L-17-268",-0.013861773494017
"L-17-269",-0.013861773494017
"L-17-271",-0.0136850853370689
"L-17-273",0.0460820406786852
"L-17-274",0.0264788210277499
"L-17-276",0.0281748825146163
"L-17-277",0.0460820406786852
"L-17-278",0.0403385269973361
"L-17-279",0.00196920297471191
"L-17-281",0.0404923794031393
"L-17-282",0.0238412065825735
"L-17-283",0.0347488657217902
"L-17-284",0.0347488657217902
"L-17-286",0.00365045150835833
"L-17-287",0.0315206843617977
"L-17-288",0.0315206843617977
"L-17-289",0.00196920297471191
"L-17-291",0.0404923794031393
"L-17-292",0.0347488657217902
"L-17-317",0.0224620061070842
"L-17-321",0.00611185956389478
"L-17-324",0.023513595851466
"L-17-326",0.023513595851466
"L-17-331",0.0179435368525806
"L-17-332",0.0259310230862527
"L-17-349",0.0199113623086467
"L-17-379",0.00382713966530648
"L-17-381",-0.00335376473979219
"L-17-389",0.0282588626869317
"L-17-391",0.0227186700346908
"L-17-392",0.0259310230862527
"L-17-394",0.0708147052743312
"L-17-422",0.0622759644970583
"L-17-427",0.0432996871291833
"L-17-428",0.0572136539426871
"L-17-429",0.0572136539426871
"L-17-432",0.0762585418496827
"L-17-438",0.0762585418496827
"L-17-441",0.114323120223958
"L-17-442",0.0600200937307673
"L-17-443",0.109507445034029
"L-17-569",0.0599237376538774
"L-17-66",-0.115125379667837
"L-17-67",-0.121713004507171
"L-17-68",-0.101468714039536
"L-17-69",0.00344295813403061
"L-17-71",0.00622531168353156
"L-17-72",0.00344295813403061
"L-17-74",-0.0804571126130442
"L-17-76",-0.0371065972422128
"L-17-78",-0.0555907909076266
"L-17-79",-0.0119270664201598
"L-17-82",-0.015629136928462
"L-17-83",-0.00829485048342233
"L-17-87",-0.0291775623088234
"L-17-88",-0.0291775623088234
"L-17-91",-0.0212756207734839
"L-17-92",-0.0840313662147684
"L-17-94",-0.0543570931308764
"L-17-96",-0.0383895410313511
"Lantsetnaya",-0.183541961980818
"Larisa",-0.0564718291064176
"Lazurnaya",0.1966698306745
"Legenda",-0.193642480565285
"Libid",-0.088407181748611
"Lider_1",-0.115043773065252
"Lindarin",0.111244893347335
"Lira",-0.0920201681241657
"Lissabon",0.000289937090988622
"Lokus",-0.239843566355169
"Mageva",-0.185564204421535
"Major",-0.0855109342046825
"Maksus",-0.0742642959365903
"Malaga",-0.0058082195099898
"Maleta",-0.0326683819054239
"Merlin",-0.00898037431169389
"Mezenka",-0.14084428555047
"Milvus",-0.172684840297161
"MK_100",-0.0146240837842933
"Moravians",-0.0706134284079495
"Nadezhda",0.00619109319828634
"Natsunoka",-0.037358961248501
"Nika",-0.0885895369610543
"Nilin",0.149352018549797
"Nilin_/_Delta",0.0634600481962967
"NS-L_1009",0.0694145266866893
"NS-L_2021",0.151296244502043
"NS_Atlas",0.111244893347335
"NS_Maksimus",0.136290395062658
"NS_Mina",0.126607702084478
"NS_Nataliya",0.0429887375216769
"NS_Vulkan",0.0908095844550177
"NS_Zoya",0.111244893347335
"OAK_MA�edok",-0.0135534791893729
"OAK_M·edok",0.00109010961232292
"OAK_Preskot",0.0462422489952114
"OAS_Prudens",-0.0963792431558604
"Ogemaw",-0.0712133530028488
"OGR_83-71",0.0583661075937012
"OGR_83-9",-0.0183459638316294
"Olimpiya",0.0254884639280792
"Olviya",0.0167017596381546
"Opus",0.0253117334331709
"Oressa",-0.156564294070812
"Osmon",-0.15572349016737
"Paradis",-0.159350242791973
"Pepelina",-0.0501003504494362
"Perizat",0.0908095844550177
"Persona",-0.0810344423732165
